year,storm_count,avg_max_wind,total_intensity,cat5_count,decade,avg_intensity_per_storm,avg_storm_count,storm_count_trend,avg_intensity_trend
1980,14,84.64285714285714,11.5495,1,1980s,0.8249642857142857,15.866666666666667,17.19130434782602,0.7792519829906528
1981,16,83.1875,12.4663,1,1980s,0.77914375,15.866666666666667,17.13109354413696,0.7809879109595474
1982,18,83.83333333333333,13.954699999999999,0,1980s,0.7752611111111111,15.866666666666667,17.0708827404479,0.7827238389284421
1983,17,82.88235294117646,14.409699999999999,3,1980s,0.8476294117647059,15.866666666666667,17.01067193675884,0.7844597668973368
1984,14,88.78571428571429,12.6439,1,1980s,0.9031357142857143,15.866666666666667,16.95046113306978,0.7861956948662314
1985,17,78.70588235294117,11.782399999999999,1,1980s,0.6930823529411764,15.866666666666667,16.89025032938072,0.7879316228351256
1986,19,76.42105263157895,12.1706,1,1980s,0.6405578947368421,15.866666666666667,16.830039525691646,0.7896675508040203
1987,16,93.4375,15.6745,2,1980s,0.97965625,15.866666666666667,16.769828722002586,0.791403478772915
1988,16,78.4375,11.4005,1,1980s,0.71253125,15.866666666666667,16.709617918313526,0.7931394067418096
1989,19,74.42105263157895,13.357199999999999,3,1980s,0.7030105263157894,15.866666666666667,16.649407114624466,0.7948753347107043
1990,15,91.73333333333333,13.9298,2,1990s,0.9286533333333333,15.866666666666667,16.589196310935407,0.7966112626795989
1991,20,81.6,15.817599999999999,2,1990s,0.7908799999999999,15.866666666666667,16.528985507246333,0.7983471906484936
1992,16,82.4375,13.2197,2,1990s,0.82623125,15.866666666666667,16.468774703557273,0.8000831186173882
1993,21,76.14285714285714,14.3977,1,1990s,0.6856047619047619,15.866666666666667,16.408563899868213,0.8018190465862829
1994,21,82.38095238095238,17.214,1,1990s,0.8197142857142856,15.866666666666667,16.348353096179153,0.8035549745551775
1995,15,83.13333333333334,12.7061,2,1990s,0.8470733333333332,15.866666666666667,16.288142292490093,0.8052909025240718
1996,18,84.55555555555556,15.0976,2,1990s,0.8387555555555556,15.866666666666667,16.227931488801033,0.8070268304929664
1997,15,87.33333333333333,13.296,2,1990s,0.8864,15.866666666666667,16.16772068511196,0.8087627584618611
1998,10,87.4,9.0602,1,1990s,0.90602,15.866666666666667,16.1075098814229,0.8104986864307557
1999,16,61.125,6.9794,0,1990s,0.4362125,15.866666666666667,16.04729907773384,0.8122346143996504
2000,16,79.5,11.692,2,2000s,0.73075,15.866666666666667,15.98708827404478,0.813970542368545
2001,14,72.85714285714286,8.196,0,2000s,0.5854285714285714,15.866666666666667,15.92687747035572,0.8157064703374397
2002,10,82.9,8.3087,1,2000s,0.83087,15.866666666666667,15.866666666666646,0.8174423983063344
2003,17,87.88235294117646,15.2132,2,2000s,0.8948941176470588,15.866666666666667,15.806455862977586,0.819178326275229
2004,21,92.71428571428571,21.045099999999998,2,2000s,1.0021476190476188,15.866666666666667,15.746245059288526,0.8209142542441232
2005,14,97.35714285714286,14.5919,1,2000s,1.0422785714285714,15.866666666666667,15.686034255599466,0.8226501822130179
2006,17,88.05882352941177,15.428099999999999,1,2000s,0.907535294117647,15.866666666666667,15.625823451910406,0.8243861101819125
2007,13,84.92307692307692,11.0002,1,2000s,0.8461692307692308,15.866666666666667,15.565612648221347,0.8261220381508072
2008,16,85.4375,13.5291,1,2000s,0.84556875,15.866666666666667,15.505401844532273,0.8278579661197019
2009,17,74.29411764705883,11.4899,2,2000s,0.6758764705882353,15.866666666666667,15.445191040843213,0.8295938940885965
2010,11,74.27272727272727,7.4251000000000005,1,2010s,0.675009090909091,15.866666666666667,15.384980237154153,0.8313298220574912
2011,16,74.8125,11.4351,3,2010s,0.71469375,15.866666666666667,15.324769433465093,0.8330657500263858
2012,18,85.22222222222223,16.1122,3,2010s,0.8951222222222223,15.866666666666667,15.264558629776033,0.8348016779952805
2013,20,79.15,15.6769,1,2010s,0.783845,15.866666666666667,15.20434782608696,0.8365376059641751
2014,18,82.94444444444444,16.3273,5,2010s,0.9070722222222223,15.866666666666667,15.1441370223979,0.8382735339330694
2015,13,101.53846153846153,14.255,1,2010s,1.0965384615384617,15.866666666666667,15.08392621870884,0.840009461901964
2016,13,109.23076923076923,16.96,4,2010s,1.3046153846153847,15.866666666666667,15.02371541501978,0.8417453898708587
2017,20,58.6,7.9346,0,2010s,0.39672999999999997,15.866666666666667,14.96350461133072,0.8434813178397533
2018,18,77.38888888888889,14.7399,5,2010s,0.8188833333333334,15.866666666666667,14.90329380764166,0.845217245808648
2019,13,78.84615384615384,8.9155,0,2010s,0.6858076923076923,15.866666666666667,14.843083003952586,0.8469531737775426
2020,19,69.26315789473684,11.5818,1,2020s,0.6095684210526315,15.866666666666667,14.782872200263526,0.8486891017464373
2021,10,86.0,9.578,3,2020s,0.9578,15.866666666666667,14.722661396574466,0.850425029715332
2022,14,74.0,9.2778,2,2020s,0.6627,15.866666666666667,14.662450592885406,0.8521609576842266
2023,10,93.8,10.2684,2,2020s,1.02684,15.866666666666667,14.602239789196346,0.8538968856531213
2024,13,96.0,13.8274,2,2020s,1.063646153846154,15.866666666666667,14.542028985507272,0.8556328136220155
